Dataset,ErrorType,Feature,Percentage,Model,Accuracy,Precision,Recall,F1_Score
noise_05_person_age,noise,person_age,50,dt,0.8182,0.585,0.5527,0.5684
noise_05_person_age,noise,person_age,50,svm,0.4854,0.2714,0.817,0.4075
noise_05_person_emp_length,noise,person_emp_length,50,lda,0.9691,0.9863,0.8692,0.9241
noise_05_person_emp_length,noise,person_emp_length,50,lr,0.9716,0.9707,0.896,0.9318
noise_05_person_emp_length,noise,person_emp_length,50,et,0.9463,0.8687,0.8862,0.8773
noise_05_person_emp_length,noise,person_emp_length,50,rf,0.866,0.7295,0.6058,0.6619
noise_05_person_emp_length,noise,person_emp_length,50,knn,0.8553,0.7449,0.5044,0.6015
noise_05_person_emp_length,noise,person_emp_length,50,mlp,0.8526,0.6533,0.6807,0.6667
noise_05_person_emp_length,noise,person_emp_length,50,nb,0.8168,0.6797,0.2912,0.4077
noise_05_person_emp_length,noise,person_emp_length,50,dt,0.8246,0.7279,0.3033,0.4282
noise_05_person_emp_length,noise,person_emp_length,50,svm,0.8012,0.5377,0.584,0.5599
noise_05_person_home_ownership,noise,person_home_ownership,50,lda,0.9558,0.9434,0.8465,0.8923
noise_05_person_home_ownership,noise,person_home_ownership,50,lr,0.947,0.9331,0.8138,0.8693
noise_05_person_home_ownership,noise,person_home_ownership,50,et,0.8591,0.7053,0.6001,0.6485
noise_05_person_home_ownership,noise,person_home_ownership,50,rf,0.8474,0.7174,0.4874,0.5805
noise_05_person_home_ownership,noise,person_home_ownership,50,knn,0.9405,0.8551,0.8734,0.8642
noise_05_person_home_ownership,noise,person_home_ownership,50,mlp,0.8388,0.6196,0.6624,0.6403
noise_05_person_home_ownership,noise,person_home_ownership,50,nb,0.8176,0.694,0.282,0.4011
noise_05_person_home_ownership,noise,person_home_ownership,50,dt,0.78,0.4923,0.5002,0.4962
noise_05_person_home_ownership,noise,person_home_ownership,50,svm,0.8371,0.6815,0.4655,0.5532
noise_05_person_income,noise,person_income,50,lda,0.9656,0.9895,0.85,0.9145
noise_05_person_income,noise,person_income,50,lr,0.9696,0.9705,0.8865,0.9266
noise_05_person_income,noise,person_income,50,et,0.9376,0.8445,0.8725,0.8583
noise_05_person_income,noise,person_income,50,rf,0.8658,0.7302,0.603,0.6605
noise_05_person_income,noise,person_income,50,knn,0.8533,0.6985,0.5677,0.6263
noise_05_person_income,noise,person_income,50,mlp,0.8356,0.7077,0.4107,0.5197
noise_05_person_income,noise,person_income,50,nb,0.7735,0.3753,0.0687,0.1161
noise_05_person_income,noise,person_income,50,dt,0.7839,0.9412,0.0026,0.0051
noise_05_person_income,noise,person_income,50,svm,0.2166,0.2166,1.0,0.356
